label,qid,docid,c1,c2,c3
0,1,1,0,0,0
1,1,2,1,0,0
2,1,3,1,1,0
0,1,4,0,0,0
0,1,5,0,0,0
1,1,6,1,0,0
0,1,7,0,0,0
1,1,8,1,0,0
1,1,9,0,1,0
0,1,10,0,0,0
1,1,11,0,1,0
1,1,12,1,0,0
0,1,13,0,0,0
0,1,14,0,0,0
0,1,15,0,0,0
1,1,16,0,1,0
1,1,17,0,1,0
0,1,18,0,0,0
1,1,19,1,0,0
0,1,20,0,0,0
0,2,21,0,0,0
1,2,22,0,1,0
1,2,23,0,1,0
0,2,24,0,0,0
1,2,25,1,0,0
0,2,26,0,0,0
1,2,27,0,1,0
0,2,28,0,0,0
2,2,29,1,1,0
2,2,30,1,1,0
0,2,31,0,0,0
0,2,32,0,0,0
1,2,33,0,1,0
1,2,34,0,1,0
1,2,35,1,0,0
1,2,36,0,1,0
1,2,37,0,1,0
0,2,38,0,0,0
1,2,39,0,1,0
1,2,40,1,0,0
3,3,41,1,1,1
1,3,42,0,1,0
1,3,43,0,1,0
1,3,44,0,1,0
1,3,45,0,1,0
1,3,46,0,1,0
1,3,47,0,1,0
0,3,48,0,0,0
1,3,49,0,1,0
3,3,50,1,1,1
1,3,51,0,1,0
1,3,52,0,1,0
1,3,53,0,1,0
3,3,54,1,1,1
0,3,55,0,0,0
2,3,56,0,1,1
1,3,57,0,1,0
3,3,58,1,1,1
0,3,59,0,0,0
1,3,60,0,1,0
